646272 14 64
646277 27 63
646282 47 63
646287 55 63
646292 60 63
646297 61 62
646302 62 62
646312 62 61
646317 61 61
646322 61 60
646327 60 59
646332 59 59
646337 59 58
646342 59 57
646352 57 55
646357 56 54
646362 56 53
646367 54 52
646372 53 51
646377 52 49
646387 49 47
646392 48 46
646397 47 44
646402 46 43
646407 44 41
646412 43 40
646417 41 38
646427 39 35
646432 38 33
646437 36 32
646442 34 30
646447 32 28
646452 30 27
646457 28 25
646462 27 23
646467 25 21
646472 24 19
646477 21 17
646482 20 15
646487 18 14
646492 16 12
646497 14 10
646502 12 8
646507 10 6
646512 8 4
646517 6 2
646522 5 0
646527 3 -2
646532 1 -4
646537 0 -6
646542 -2 -8
646547 -5 -10
646552 -7 -12
646557 -9 -14
646562 -10 -16
646567 -12 -18
646572 -14 -19
646577 -16 -21
646582 -18 -23
646587 -20 -25
646592 -22 -27
646597 -24 -29
646602 -26 -30
646607 -28 -32
646612 -29 -34
646617 -30 -35
646622 -32 -37
646627 -34 -39
646632 -36 -40
646637 -37 -42
646642 -39 -43
646647 -40 -45
646652 -42 -46
646657 -44 -47
646662 -45 -49
646667 -46 -50
646672 -47 -51
646677 -48 -52
646682 -50 -53
646687 -51 -55
646692 -52 -56
646697 -54 -57
646702 -55 -57
646707 -55 -58
646712 -56 -59
646717 -57 -60
646722 -58 -61
646727 -59 -61
646732 -60 -62
646737 -60 -62
646742 -61 -63
646747 -61 -63
646752 -62 -64
646757 -62 -64
646762 -63 -64
646767 -63 -64
646772 -63 -64
646777 -63 -64
646782 -63 -64
646787 -63 -64
646792 -63 -64
646797 -63 -64
646802 -63 -64
646807 -63 -64
646812 -63 -63
646817 -63 -63
646822 -63 -62
646827 -62 -62
646832 -62 -61
646837 -61 -60
646842 -60 -60
646847 -60 -59
646852 -59 -58
646857 -58 -57
646862 -58 -56
646867 -57 -55
646872 -56 -54
646877 -54 -53
646882 -53 -52
646887 -52 -51
646892 -52 -50
646897 -51 -48
646902 -50 -47
646907 -48 -46
646912 -47 -44
646917 -45 -43
646922 -44 -41
646927 -42 -40
646932 -41 -38
646937 -39 -37
646942 -38 -35
646947 -36 -33
646952 -34 -32
646957 -33 -30
646962 -32 -28
646967 -30 -26
646972 -28 -25
646977 -26 -23
646982 -24 -21
646987 -23 -19
646992 -21 -17
646997 -18 -15
647002 -16 -13
647007 -15 -11
647012 -13 -9
647017 -11 -8
647022 -9 -6
647027 -7 -4
647032 -6 -2
647037 -4 0
647042 -2 2
647047 0 4
647052 2 6
647057 3 8
647062 5 10
647067 7 12
647072 9 14
647077 11 16
647082 13 18
647087 15 20
647092 17 21
647097 19 23
647102 21 25
647107 22 27
647112 24 29
647117 26 30
647122 28 32
647127 30 34
647132 31 35
647137 33 37
647142 35 39
647147 36 40
647152 38 42
647157 40 43
647162 41 45
647167 43 46
647172 44 47
647177 45 49
647182 47 50
647187 48 51
647192 50 52
647197 50 53
647202 51 54
647207 52 55
647212 53 56
647217 54 57
647222 55 58
647227 56 59
647232 58 59
647237 58 60
647242 59 61
647247 59 61
647252 60 62
647257 61 62
647262 61 63
647267 61 63
647272 62 63
647277 62 63
647282 62 63
647287 62 64
647292 63 64
647297 63 63
647302 63 63
647307 62 63
647312 63 63
647317 63 63
647322 63 62
647327 62 62
647332 62 62
647337 62 61
647342 61 60
647347 60 60
647352 60 59
647357 60 58
647362 59 58
647367 58 57
647372 58 56
647377 57 55
647382 56 54
647387 55 53
647392 54 52
647397 53 50
647402 51 49
647407 50 48
647412 49 47
647417 48 45
647422 47 44
647427 45 43
647432 44 41
647437 42 40
647442 41 38
647447 40 36
647452 39 35
647457 37 33
647462 35 31
647467 33 30
647472 32 28
647477 30 26
647482 28 24
647487 26 23
647492 25 21
647497 23 19
647502 22 17
647507 20 15
647512 17 13
647517 15 11
647522 13 9
647527 11 7
647532 9 5
647537 7 3
647542 5 1
647547 4 0
647552 2 -2
647557 0 -4
647562 -1 -6
647567 -3 -8
647572 -5 -10
647577 -7 -12
647582 -9 -14
647587 -11 -16
647592 -12 -18
647597 -14 -20
647602 -16 -22
647607 -19 -24
